景點名稱,室內,戶外,親子友善,無障礙,文化歷史,自然生態,藝術展覽,宗教信仰,購物娛樂,博物館,溫泉,免費入場,夜間開放,表演藝術
信義公民會館,1,1,1,1,1,0,0,0,0,1,0,1,0,0
內雙溪自然中心,1,1,1,1,0,1,0,0,0,0,0,1,0,0
凱達格蘭文化館,1,0,1,1,1,0,1,0,0,1,0,1,0,0
北投公園露天溫泉浴池,0,1,1,1,0,0,0,0,0,0,1,1,0,0
北投溫泉博物館,1,0,1,1,1,0,0,0,0,1,1,1,0,0
台北101,1,1,1,1,0,0,0,0,1,0,0,0,0,0
台北植物園,0,1,1,1,1,1,0,0,0,0,0,1,0,0
台北當代藝術館,1,0,1,1,1,0,1,0,0,1,0,0,0,0
台北霞海城隍廟,1,0,1,0,1,0,0,1,0,0,0,1,0,0
國民革命忠烈祠,0,1,1,1,1,0,0,0,0,0,0,1,0,0
國立中正紀念堂,1,1,1,1,1,0,0,0,0,1,0,1,0,1
國立國父紀念館,1,1,1,1,1,0,1,0,0,1,0,1,0,1
國立故宮博物院,1,1,1,1,1,0,1,0,0,1,0,0,0,0
國立歷史博物館,1,0,1,1,1,0,1,0,0,1,0,0,0,0
國立臺灣博物館,1,0,1,1,1,0,1,0,0,1,0,0,0,0
國立臺灣博物館_南門館,1,0,1,1,1,0,1,0,0,1,0,0,0,0
國立臺灣科學教育館,1,0,1,1,0,0,0,0,0,1,0,0,0,0
國立臺灣藝術教育館,1,1,1,1,1,0,1,0,0,1,0,0,0,1
圓山別莊,1,1,1,1,1,0,0,0,0,1,0,0,0,0
士林官邸公園,1,1,1,1,1,1,0,0,0,0,0,0,0,0
大安森林公園,0,1,1,1,0,1,0,0,0,0,0,1,0,0
大龍峒保安宮,1,0,1,1,1,0,0,1,0,0,0,1,0,0
寶藏巖,1,1,0,0,1,0,1,0,0,0,0,0,0,0
新北投車站,1,0,1,1,1,0,0,0,0,1,1,1,0,0
新芳春茶行,1,0,1,1,1,0,0,0,0,1,0,1,0,0
松山慈祐宮,1,1,1,1,1,0,0,1,0,0,0,1,0,0
松山文創園區,1,1,1,1,1,0,1,0,1,0,0,0,0,0
林安泰古厝民俗文物館,1,1,1,1,1,0,0,0,0,1,0,1,0,0
梅庭,1,1,1,1,1,0,0,0,0,0,0,1,0,0
白石湖吊橋,0,1,1,0,0,1,0,0,0,0,0,1,0,0
美麗華摩天輪,1,1,1,1,0,0,0,0,1,0,0,0,0,0
美麗華百樂園,1,1,1,1,0,0,0,0,1,0,0,0,0,0
臺北孔廟,1,1,1,1,1,0,0,1,0,0,0,1,0,0
臺北市立兒童新樂園,1,1,1,1,0,0,0,0,1,0,0,0,0,0
臺北市立動物園,1,1,1,1,0,1,0,0,0,0,0,0,0,0
臺北市立天文科學教育館,1,0,1,1,0,0,0,0,0,1,0,0,0,0
臺北市立美術館,1,1,1,1,0,0,1,0,0,1,0,0,0,0
臺北市電影主題公園,0,1,1,1,1,0,1,0,0,0,0,1,0,0
臺北流行音樂中心,1,1,1,1,0,0,1,0,0,0,0,0,0,1
臺北自來水園區,1,1,1,1,1,1,0,0,0,1,0,0,0,0
臺北表演藝術中心,1,0,1,1,0,0,1,0,0,0,0,0,0,1
臺北製糖所文化園區,1,1,1,1,1,0,1,0,0,0,0,0,0,0
艋舺龍山寺,1,1,1,1,1,0,0,1,0,0,0,1,1,0
芝山文化生態綠園,1,1,1,1,1,1,0,0,0,0,0,1,0,0
草山行館,1,1,1,1,1,1,0,0,0,0,0,0,0,0
華山1914文化創意產業園區,1,1,1,1,1,0,1,0,1,0,0,0,1,1
西門町商圈,1,1,1,1,1,0,0,0,1,0,0,0,1,0
西門紅樓,1,1,0,1,1,0,1,0,1,0,0,0,1,0
關渡自然公園,1,1,1,1,0,1,0,0,0,1,0,0,0,0
陽明公園,0,1,1,0,0,1,0,0,0,0,0,1,0,0
饒河街觀光夜市,0,1,1,1,1,0,0,0,1,0,0,0,1,0
