縣市代碼,專用標識編號,旅館名稱,電話或手機號碼,營業地址,客房最低定價,客房最高定價,房間數
63000,臺北市旅館001號,旅居文旅西門驛站昆明館,(02)23818131,108臺北市萬華區昆明街142號7-8樓,10000,15000,37
63000,臺北市旅館002號,慕居行旅,(02)27295828,110臺北市信義區基隆路二段22號5樓,600,70000,25
63000,臺北市旅館003號,承攜行旅台北八德館,(02)27425575,105臺北市松山區八德路四段213號1-7樓,12000,16000,76
63000,臺北市旅館004號,丹迪旅店-大安森林公園店,(02)27076899,106臺北市大安區信義路三段33號3-10樓,12000,15000,73
63000,臺北市旅館006號,雀客快捷台北車站,(02)25590577,103臺北市大同區太原路64號1至8樓,10780,28600,58
63000,臺北市旅館007號,大來商旅,(02)27160011,105臺北市松山區長春路432號1-7樓,2000,12000,62
63000,臺北市旅館009號,漾館溫泉商旅,(02)28911118,112臺北市北投區溫泉路63號1-4樓,5888,15800,31
63000,臺北市旅館010號,和怡商務旅館,(02)27890505,115臺北市南港區重陽路122號,3380,6140,43
63000,臺北市旅館013號,皇后旅社,(02)25590489,103臺北市大同區長安西路226號1至4樓,6800,20000,20
63000,臺北市旅館015號,華麗大飯店,(02)23818111,108臺北市萬華區康定路41號,1900,12000,88
63000,臺北市旅館016號,新凱飯店,(02)25855000,104臺北市中山區新生北路3段76之1號1至10樓,3000,15000,42
63000,臺北市旅館018號,麗雅精品旅館,(02)25411133,104臺北市中山區長春路62號8樓之1,1980,1980,12
63000,臺北市旅館022號,國際大旅館,(02)28617100,112臺北市北投區湖山路一段7號,2310,3190,44
63000,臺北市旅館023號,米窩飯店-中山,(02)25910183,104臺北市中山區中山北路二段183巷30、32號3樓 ,5600,7200,13
63000,臺北市旅館027號,麗都大飯店,(02)27065600,106臺北市大安區信義路三段11號1-11樓,2700,9000,73
63000,臺北市旅館030號,黛芬旅館,(02)23719751,108臺北市萬華區昆明街76號3樓,1000,2500,15
63000,臺北市旅館031號,首都唯客樂飯店,(02)25070168,104臺北市中山區長春路187號1-9樓,5800,13000,80
63000,臺北市旅館032號,力歐時尚旅館,(02)23145296,100臺北市中正區延平南路9號1-9樓,3000,5000,37
63000,臺北市旅館033號,悅來旅館,(02)23110066,100臺北市中正區中華路一段21號6-7樓,5000,12000,26
63000,臺北市旅館034號,金財神旅館,(02)23110066,100臺北市中正區中華路一段21號3樓,5000,12000,12
63000,臺北市旅館035號,小雅旅店,(02)27631122,105臺北市松山區八德路四段616號5樓,1100,6400,17
63000,臺北市旅館040號,艾捷天麗大飯店,(02)25796162,105臺北市松山區南京東路四段156號1-11樓,30000,46000,78
63000,臺北市旅館046號,迪樂商旅,(02)25551130,103臺北市大同區延平北路一段121號1至6樓,1580,15800,28
63000,臺北市旅館047號,紫園旅社,(02)25557178,103臺北市大同區南京西路18巷30號,5200,6200,27
63000,臺北市旅館048號,富粧商務旅店,(02)23711247、 0968-321777,"108臺北市萬華區康定路6,8號2-5樓",1680,8880,28
63000,臺北市旅館049號,長虹大飯店,(02)23119193,"108臺北市萬華區漢中街36號1,3-8樓",2380,7200,68
63000,臺北市旅館050號,東皇大飯店,(02)28913027,112臺北市北投區溫泉路108號1-6樓,5000,8000,39
63000,臺北市旅館051號,梅樓商務驛站,(02)25552587,103臺北市大同區鄭州路29巷1-1號2-4樓,1490,5830,18
63000,臺北市旅館054號,旅居文旅-松山驛站,(02)27635889,105臺北市松山區八德路四段626號3樓,3000,18000,18
63000,臺北市旅館056號,南港安樂旅社,(02)26511797,115臺北市南港區南港路一段229號2-3樓,1400,1400,10
63000,臺北市旅館057號,凱統大飯店,(02)27211162,106臺北市大安區忠孝東路三段8號3-9樓,2580,3280,56
63000,臺北市旅館059號,薇閣旅館,(02)25318000,"104臺北市中山區錦州街27、29號,31號2-4樓",3800,9000,87
63000,臺北市旅館060號,華宮旅社,(02)23142627,108臺北市萬華區西昌街157號,700,700,14
63000,臺北市旅館061號,洛碁大飯店花華分館,(02)23123811,100臺北市中正區漢口街1段36號1至8樓,3000,18000,56
63000,臺北市旅館063號,京都商務旅館,(02)25673366,104臺北市中山區長春路38號3-10樓  ,3000,11000,40
63000,臺北市旅館064號,美觀園旅社,(02)23314123,108臺北市萬華區西寧南路90巷13號,1800,2800,15
63000,臺北市旅館065號,北門文旅,(02)25567797,103臺北市大同區長安西路145巷3號,1400,8000,15
63000,臺北市旅館066號,台北商旅（大安館）,(02)77119933,106臺北市大安區大安路一段135號,9200,11500,42
63000,臺北市旅館068號,葳皇時尚飯店,(02)25575379,"103臺北市大同區延平北路二段197號3, 4,11樓",18880,20880,48
63000,臺北市旅館076號,一加一旅館,(02)23892886,108臺北市萬華區昆明街34號3樓,1200,2200,13
63000,臺北市旅館078號,台北世聯商旅,(02)25626161,104臺北市中山區松江路90巷5號1至7樓,5060,7480,44
63000,臺北市旅館079號,帥客旅店,(02)23223887,100臺北市中正區羅斯福路一段90巷2號1-5樓,1500,5400,32
63000,臺北市旅館081號,客來思樂行旅,(02)23626555,"106臺北市大安區羅斯福路3段241號4-6樓,4-6樓之1",1280,5000,20
63000,臺北市旅館082號,承攜行旅台北台大館,(02)23657367,100臺北市中正區羅斯福路三段98號1-8樓,13800,18800,35
63000,臺北市旅館086號,米窩飯店-松山,(02)27565659,110臺北市信義區松山路153號2-7樓,25000,25000,33
63000,臺北市旅館087號,台北碧瑤飯店,(02)27813121,105臺北市松山區八德路二段367號1-10樓,4300,7800,84
63000,臺北市旅館089號,蒲園飯店,(02)27530772,105臺北市松山區八德路四段176號地下2樓、地下1樓、1樓、3樓至5樓、7樓,2800,32000,32
63000,臺北市旅館090號,香城大飯店松山分店,(02)27693969,105臺北市松山區市民大道六段67號1-9樓,1800,10000,56
63000,臺北市旅館092號,家賓大旅社,(02)29325915,116臺北市文山區景文街42號6-7樓,4000,6000,32
63000,臺北市旅館093號,景美大旅社,(02)29313788,116臺北市文山區景文街104號2-4樓,1000,1500,12
63000,臺北市旅館094號,城美行旅,(02)23147305,"100臺北市中正區漢口街一段88,90號1-7樓",1820,12000,59
63000,臺北市旅館096號,璞漣商務旅館西門店,(02)23718616,108臺北市萬華區成都路27巷6號,3300,4500,57
63000,臺北市旅館097號,大榮大旅社,(02)23316527,108臺北市萬華區西寧南路185號2-4樓,900,1300,17
63000,臺北市旅館099號,雲沐行旅,(02)27735177,106臺北市大安區忠孝東路四段197號13樓及13樓之4、5、6、7、8、9,16000,25000,42
63000,臺北市旅館100號,嘉賓閣旅館,(02)28930055,112臺北市北投區光明路230號B1-7樓,9800,12000,47
63000,臺北市旅館101號,晶樺商務旅店,(02)23048788,108臺北市萬華區西園路一段168號10樓,2000,2000,10
63000,臺北市旅館102號,紅菱閣賓館,(02)23619696,"108臺北市萬華區峨嵋街80,82號",1130,2380,27
63000,臺北市旅館103號,乃晶旅社,(02)23043795,108臺北市萬華區西園路一段168號12樓,2000,2000,10
63000,臺北市旅館104號,台北商旅慶城館,(02)87127589,105臺北市松山區慶城街12號,8000,16500,84
63000,臺北市旅館105號,皇家大飯店,(02)23111668,100臺北市中正區懷寧街5-1號1-6樓,4280,6680,40
63000,臺北市旅館107號,千慧旅館,(02)25552451,103臺北市大同區南京西路22號7樓,2200,3200,20
63000,臺北市旅館108號,柯達大飯店台北一店,(02)25422222,104臺北市中山區中山北路二段11巷1號及３號,1000,22000,53
63000,臺北市旅館109號,富玉莊旅社,(02)28822308,"111臺北市士林區福港街149巷15弄8,10號2-3樓",1900,2500,20
63000,臺北市旅館110號,東姿商務旅館,(02)25638866,104臺北市中山區一江街33號1-4樓,5400,7500,29
63000,臺北市旅館112號,東龍大飯店,(02)23116969,108臺北市萬華區漢口街二段23號1-7樓,1920,3200,70
63000,臺北市旅館113號,日光樂居 漢中館,(02)23116606,108臺北市萬華區漢中街147巷6號1至4樓,3000,11000,18
63000,臺北市旅館114號,內江賓?,(02)23812147,108臺北市萬華區西寧南路112號2-6樓,6800,9500,17
63000,臺北市旅館115號,西門大飯店,(02)23819922,108臺北市萬華區中華路一段78號2-6樓,2180,24880,78
63000,臺北市旅館116號,泉都溫泉會館,(02)28960077,112臺北市北投區光明路220號,1800,7200,64
63000,臺北市旅館118號,洛碁大飯店山水閣,(02)25971281,104臺北市中山區中山北路二段181號1-5樓,3000,17000,32
63000,臺北市旅館119號,洛碁大飯店慶天閣,(02)25971281,104臺北市中山區中山北路二段181號7-9樓,3000,17000,24
63000,臺北市旅館120號,洛碁大飯店協美,(02)25971281,104臺北市中山區中山北路二段181號10-12樓,3000,17000,24
63000,臺北市旅館121號,老爺商務會館,(02)25316171,104臺北市中山區南京西路1號8-11樓,3000,15000,76
63000,臺北市旅館122號,友華賓館,(02)27630505,"105臺北市松山區八德路四段656,656-1號6樓",1400,6600,30
63000,臺北市旅館123號,享住旅店 Just Live Inn,(02)23713151,"100臺北市中正區漢口街一段4,6號2-4樓",3450,4650,18
63000,臺北市旅館125號,香城大飯店,(02)27049546,106臺北市大安區信義路四段295號1至11樓,15000,16000,60
63000,臺北市旅館126號,喬合大飯店,(02)27765877,106臺北市大安區復興南路一段136號1至4樓；復興南路一段126巷10弄1號等、3號2樓至2樓之8、3號3樓至3樓之8、3號4樓至4樓之10、3號5至5樓之10、3號6樓至6樓之9,10000,14000,69
