no,name,address,telephone,openingHours
1,臺北車站旅遊服務中心,臺北市中正區北平西路3號,886-2-23123256,每日09：00-19：00
2,松山機場旅遊服務中心,臺北市松山區敦化北路340-10號,886-2-25464741,每日08：00-17：00
3,機場捷運A1台北車站旅遊服務中心,臺北市中正區鄭州路8號B1,886-2-23313133,每日10：00-19：00
4,捷運新北投站旅遊服務中心,臺北市北投區大業路700號,886-2-28912972,每日10：00-19：00
5,捷運劍潭站旅遊服務中心,臺北市士林區中山北路五段65號,886-2-28830313,每日10：00-19：00
6,捷運西門站旅遊服務中心,臺北市中正區寶慶路32-1號B1,886-2-23753096,每日10：00-19：00
7,捷運龍山寺站旅遊服務中心,臺北市萬華區西園路1段153號B1,886-2-23025903,每日10：00-19：00
8,捷運台北101/世貿站旅遊服務中心,臺北市信義區信義路5段20號B1,886-2-27586593,每日10：00-19：00
9,纜車貓空站遊客中心,臺北巿文山區指南路3段38巷35號,886-2-29378563,每年4月至9月連假的週一09：00-18：00、每年10月至隔年3月第一個、第三個及連假的週一09：00-18：00、每週二至週五09：00-18：00
10,大稻埕遊客中心,臺北市大同區迪化街1段44號,886-2-25596802,每日09：00-18：00
11,西門町遊客中心,臺北市萬華區漢中街45號,886-2-23885255,每日12：00-21：00
