資料項目,縣市別,縣市別代碼,行政區,精選景點,主題景點
臺北旅遊網景點資料中文,臺北市,63000,北投區,"1.陽明公園
2.關渡自然公園
3.北投溫泉博物館
4.凱達格蘭文化館
5.梅庭
6.草山行館
7.北投公園露天溫泉浴池
8.新北投車站",北投風情與親山遊玩
臺北旅遊網景點資料中文,臺北市,63000,士林區,"1.國立故宮博物院
2.國立臺灣科學教育館
3.臺北市立天文科學教育館
4.士林官邸公園
5.臺北市立兒童新樂園
6.芝山文化生態綠園
7.臺北表演藝術中心",藝文展演與親子同遊
臺北旅遊網景點資料中文,臺北市,63000,內湖區,"白石湖吊橋
內雙溪自然中心",休閒踏青與自然教育
臺北旅遊網景點資料中文,臺北市,63000,松山區,"饒河街觀光夜市
松山慈祐宮",宗教信仰與觀光夜市
臺北旅遊網景點資料中文,臺北市,63000,中山區,"1.臺北市立美術館
2.國民革命忠烈祠
3.圓山別莊
4.美麗華摩天輪
5.林安泰古厝民俗文物館",藝文館所與古蹟建物
臺北旅遊網景點資料中文,臺北市,63000,大同區,"1.台北當代藝術館
2.臺北孔廟
3.大龍峒保安宮
4.新芳春茶行
5.台北霞海城隍廟",當代藝術與傳統文化
臺北旅遊網景點資料中文,臺北市,63000,南港區,臺北流行音樂中心,流行音樂
臺北旅遊網景點資料中文,臺北市,63000,信義區,"1.國立國父紀念館
2.台北101
3.松山文創園區
4.信義公民會館",都會潮流與文化創意
臺北旅遊網景點資料中文,臺北市,63000,大安區,大安森林公園,都市綠洲
臺北旅遊網景點資料中文,臺北市,63000,中正區,"1.國立歷史博物館
2.國立臺灣藝術教育館
3.國立中正紀念堂
4.臺北自來水園區
5.寶藏巖
6.華山1914文化創意產業園區
7.國立臺灣博物館
8.台北植物園",藝文展覽與綠植秘境
臺北旅遊網景點資料中文,臺北市,63000,萬華區,"1.西門紅樓
2.臺北市電影主題公園
3.臺北製糖所文化園區
4.艋舺龍山寺
5.西門町商圈",文化古蹟與夜市商圈
臺北旅遊網景點資料中文,臺北市,63000,文山區,臺北市立動物園,親山自然
臺北旅遊網景點資料中文,臺北市,63000,各行政區,"國立歷史博物館
臺北市立兒童新樂園
關渡自然公園
國立故宮博物院
臺北市立美術館
臺北孔廟
芝山文化生態綠園
臺北流行音樂中心
台北101
國立中正紀念堂
臺北表演藝術中心
華山1914文化創意產業園區
臺北市立天文科學教育館
國立臺灣科學教育館
國立臺灣博物館_南門館
美麗華百樂園",無障礙旅遊推薦景點
